region,provincia,distrito,candidato,dni,esvalido
Ayacucho,La Mar,San Miguel,45097669,James Myers,0
Ayacucho,La Mar,San Miguel,52285872,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,49890702,Wendell Corf,1
Ayacucho,La Mar,San Miguel,69236861,Sally Owens,1
Ayacucho,La Mar,San Miguel,75431687,Richard Miller,0
Ayacucho,La Mar,San Miguel,37993000,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,33786688,Russell Rivers,0
Ayacucho,La Mar,San Miguel,61466951,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,17140094,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,88760821,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,76796303,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,48564034,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,82932537,Wendell Corf,0
Ayacucho,La Mar,San Miguel,24862317,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,30373133,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,50939568,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,88208158,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,79722025,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,13458615,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,57096830,Richard Miller,0
Ayacucho,La Mar,San Miguel,29080010,Wendell Corf,1
Ayacucho,La Mar,San Miguel,27936991,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,26646650,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,29789153,Wendell Corf,0
Ayacucho,La Mar,San Miguel,72851945,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,65320330,Wendell Corf,1
Ayacucho,La Mar,San Miguel,17740308,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,45904958,James Myers,0
Ayacucho,La Mar,San Miguel,29508568,Eli Gober,0
Ayacucho,La Mar,San Miguel,38608869,Russell Rivers,1
Ayacucho,La Mar,San Miguel,33761187,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,52195980,Eli Gober,0
Ayacucho,La Mar,San Miguel,41122643,James Myers,0
Ayacucho,La Mar,San Miguel,21946371,Sally Owens,1
Ayacucho,La Mar,San Miguel,81808963,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,65834369,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,78131069,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,20336899,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,49854212,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,83158764,Eli Gober,0
Ayacucho,La Mar,San Miguel,16524900,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,86628275,Eli Gober,0
Ayacucho,La Mar,San Miguel,41187165,James Myers,1
Ayacucho,La Mar,San Miguel,12035741,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,38365962,Russell Rivers,0
Ayacucho,La Mar,San Miguel,53461031,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,65155889,Sally Owens,0
Ayacucho,La Mar,San Miguel,63286984,Eli Gober,0
Ayacucho,La Mar,San Miguel,65112075,Sally Owens,0
Ayacucho,La Mar,San Miguel,34829106,Richard Miller,1
Ayacucho,La Mar,San Miguel,48608025,Richard Miller,0
Ayacucho,La Mar,San Miguel,65370799,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,40638891,Wendell Corf,0
Ayacucho,La Mar,San Miguel,71368910,Eli Gober,1
Ayacucho,La Mar,San Miguel,20393434,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,75293766,Eli Gober,0
Ayacucho,La Mar,San Miguel,64171189,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,84169864,James Myers,0
Ayacucho,La Mar,San Miguel,85744344,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,40972720,Eli Gober,1
Ayacucho,La Mar,San Miguel,73311617,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,80984862,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,89008400,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,49794474,Russell Rivers,0
Ayacucho,La Mar,San Miguel,53259281,Russell Rivers,1
Ayacucho,La Mar,San Miguel,32502978,Russell Rivers,0
Ayacucho,La Mar,San Miguel,79346702,Russell Rivers,0
Ayacucho,La Mar,San Miguel,45424695,Wendell Corf,0
Ayacucho,La Mar,San Miguel,71587732,Eli Gober,1
Ayacucho,La Mar,San Miguel,16508820,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,13386097,James Myers,0
Ayacucho,La Mar,San Miguel,34680462,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,87249283,Eli Gober,1
Ayacucho,La Mar,San Miguel,55596852,James Myers,0
Ayacucho,La Mar,San Miguel,49753375,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,68005465,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,78355060,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,87391576,Sally Owens,1
Ayacucho,La Mar,San Miguel,47097633,Eli Gober,0
Ayacucho,La Mar,San Miguel,20892963,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,71309591,James Myers,1
Ayacucho,La Mar,San Miguel,18358951,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,55409210,James Myers,0
Ayacucho,La Mar,San Miguel,34842781,James Myers,1
Ayacucho,La Mar,San Miguel,74258587,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,42262315,Russell Rivers,1
Ayacucho,La Mar,San Miguel,57052946,Wendell Corf,0
Ayacucho,La Mar,San Miguel,75420920,Russell Rivers,1
Ayacucho,La Mar,San Miguel,36748264,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,74400250,Wendell Corf,1
Ayacucho,La Mar,San Miguel,15983047,James Myers,0
Ayacucho,La Mar,San Miguel,19208400,Russell Rivers,0
Ayacucho,La Mar,San Miguel,73347570,Eli Gober,1
Ayacucho,La Mar,San Miguel,15783232,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,68248214,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,83795391,Wendell Corf,0
Ayacucho,La Mar,San Miguel,75845366,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,30199082,Richard Miller,1
Ayacucho,La Mar,San Miguel,32431668,Richard Miller,1
Ayacucho,La Mar,San Miguel,57671471,Russell Rivers,0
Ayacucho,La Mar,San Miguel,52652557,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,85386665,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,82084795,Richard Miller,1
Ayacucho,La Mar,San Miguel,16209992,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,47663122,Sally Owens,0
Ayacucho,La Mar,San Miguel,52410842,Richard Miller,1
Ayacucho,La Mar,San Miguel,65011951,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,19246259,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,76033865,Russell Rivers,0
Ayacucho,La Mar,San Miguel,66924661,Richard Miller,1
Ayacucho,La Mar,San Miguel,59195955,Eli Gober,1
Ayacucho,La Mar,San Miguel,58867065,Russell Rivers,1
Ayacucho,La Mar,San Miguel,19254669,Wendell Corf,0
Ayacucho,La Mar,San Miguel,11844167,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,24213207,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,48563086,Russell Rivers,0
Ayacucho,La Mar,San Miguel,58133243,Sally Owens,0
Ayacucho,La Mar,San Miguel,43129564,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,55587883,Russell Rivers,0
Ayacucho,La Mar,San Miguel,78672696,Wendell Corf,0
Ayacucho,La Mar,San Miguel,45810022,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,39998386,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,84314873,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,38196163,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,11846152,James Myers,0
Ayacucho,La Mar,San Miguel,49449828,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,16782818,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,50685535,James Myers,0
Ayacucho,La Mar,San Miguel,59203427,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,52279079,Russell Rivers,1
Ayacucho,La Mar,San Miguel,50090934,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,47392587,Wendell Corf,0
Ayacucho,La Mar,San Miguel,29730300,Sally Owens,0
Ayacucho,La Mar,San Miguel,60567572,Richard Miller,0
Ayacucho,La Mar,San Miguel,20571665,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,66123744,Eli Gober,1
Ayacucho,La Mar,San Miguel,29024761,Russell Rivers,0
Ayacucho,La Mar,San Miguel,74622384,James Myers,0
Ayacucho,La Mar,San Miguel,66675468,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,44171377,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,19717947,Russell Rivers,0
Ayacucho,La Mar,San Miguel,76874231,Eli Gober,1
Ayacucho,La Mar,San Miguel,55261561,Russell Rivers,1
Ayacucho,La Mar,San Miguel,88353800,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,60762010,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,82718440,Eli Gober,1
Ayacucho,La Mar,San Miguel,55123729,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,73781988,James Myers,0
Ayacucho,La Mar,San Miguel,64768829,Russell Rivers,0
Ayacucho,La Mar,San Miguel,69293879,Sally Owens,1
Ayacucho,La Mar,San Miguel,67085530,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,57191946,Sally Owens,0
Ayacucho,La Mar,San Miguel,84726067,Wendell Corf,1
Ayacucho,La Mar,San Miguel,24579706,James Myers,0
Ayacucho,La Mar,San Miguel,66632016,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,18881491,Wendell Corf,0
Ayacucho,La Mar,San Miguel,64216548,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,74749829,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,24321409,James Myers,1
Ayacucho,La Mar,San Miguel,17068653,Richard Miller,1
Ayacucho,La Mar,San Miguel,41158414,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,39084094,James Myers,0
Ayacucho,La Mar,San Miguel,38991141,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,43453631,Sally Owens,1
Ayacucho,La Mar,San Miguel,44409126,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,19986939,Russell Rivers,1
Ayacucho,La Mar,San Miguel,61895721,Wendell Corf,0
Ayacucho,La Mar,San Miguel,10587007,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,23522853,Eli Gober,0
Ayacucho,La Mar,San Miguel,78729667,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,37802780,James Myers,1
Ayacucho,La Mar,San Miguel,81329759,Lori Anchondo,1
Ayacucho,La Mar,San Miguel,75251965,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,12820369,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,12019442,Eli Gober,0
Ayacucho,La Mar,San Miguel,16972723,Russell Rivers,1
Ayacucho,La Mar,San Miguel,57492884,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,56609264,Sally Owens,0
Ayacucho,La Mar,San Miguel,27316979,Wendell Corf,0
Ayacucho,La Mar,San Miguel,13219632,Russell Rivers,1
Ayacucho,La Mar,San Miguel,83212537,Richard Miller,0
Ayacucho,La Mar,San Miguel,86138701,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,15395356,Eli Gober,0
Ayacucho,La Mar,San Miguel,83982792,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,79436441,Sally Owens,0
Ayacucho,La Mar,San Miguel,81729714,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,26967806,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,62978702,Sally Owens,1
Ayacucho,La Mar,San Miguel,74316644,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,56933559,Richard Miller,0
Ayacucho,La Mar,San Miguel,70017815,Sally Owens,0
Ayacucho,La Mar,San Miguel,52921301,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,89568400,Wendell Corf,0
Ayacucho,La Mar,San Miguel,70943632,James Myers,0
Ayacucho,La Mar,San Miguel,73684004,Richard Miller,0
Ayacucho,La Mar,San Miguel,48785478,Eli Gober,0
Ayacucho,La Mar,San Miguel,17978988,James Myers,0
Ayacucho,La Mar,San Miguel,76490099,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,15048680,James Myers,0
Ayacucho,La Mar,San Miguel,64198839,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,26547490,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,65463346,Richard Miller,0
Ayacucho,La Mar,San Miguel,66306194,Wendell Corf,1
Ayacucho,La Mar,San Miguel,58349583,Charles Gilbert,1
Ayacucho,La Mar,San Miguel,28564441,Sally Owens,1
Ayacucho,La Mar,San Miguel,18014239,Lori Anchondo,0
Ayacucho,La Mar,San Miguel,73379075,Russell Rivers,1
Ayacucho,La Mar,San Miguel,83842038,Sally Owens,0
Ayacucho,La Mar,San Miguel,42840224,Russell Rivers,0
Ayacucho,La Mar,San Miguel,60005406,Wendell Corf,1
Ayacucho,La Mar,San Miguel,54390091,Eli Gober,1
Ayacucho,La Mar,San Miguel,76897481,Wendell Corf,1
Ayacucho,La Mar,San Miguel,62653084,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,66062729,Richard Miller,1
Ayacucho,La Mar,San Miguel,12645533,Wendell Corf,1
Ayacucho,La Mar,San Miguel,68969352,Sally Owens,0
Ayacucho,La Mar,San Miguel,41685058,Eli Gober,1
Ayacucho,La Mar,San Miguel,31999500,Wendell Corf,0
Ayacucho,La Mar,San Miguel,31077357,Sally Owens,0
Ayacucho,La Mar,San Miguel,72198222,Russell Rivers,1
Ayacucho,La Mar,San Miguel,58531591,Eli Gober,0
Ayacucho,La Mar,San Miguel,70710625,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,75598459,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,86032058,Eli Gober,1
Ayacucho,La Mar,San Miguel,65101282,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,14308575,Wendell Corf,0
Ayacucho,La Mar,San Miguel,89361465,Wendell Corf,1
Ayacucho,La Mar,San Miguel,44939206,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,36950247,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,37626213,Richard Miller,0
Ayacucho,La Mar,San Miguel,24448423,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,30488216,James Myers,0
Ayacucho,La Mar,San Miguel,45893243,Eli Gober,1
Ayacucho,La Mar,San Miguel,78140716,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,28244418,Wendell Corf,1
Ayacucho,La Mar,San Miguel,22913808,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,43110122,Wendell Corf,0
Ayacucho,La Mar,San Miguel,44455577,Richard Miller,0
Ayacucho,La Mar,San Miguel,21573996,Benjamin Kingsley,1
Ayacucho,La Mar,San Miguel,61589279,Richard Miller,1
Ayacucho,La Mar,San Miguel,34153629,Elizabeth Cook,1
Ayacucho,La Mar,San Miguel,70228608,Sally Owens,1
Ayacucho,La Mar,San Miguel,87821428,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,87706312,Eli Gober,1
Ayacucho,La Mar,San Miguel,50014029,Russell Rivers,0
Ayacucho,La Mar,San Miguel,80700768,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,86604341,Elizabeth Cook,0
Ayacucho,La Mar,San Miguel,63246119,Charles Gilbert,0
Ayacucho,La Mar,San Miguel,77505470,Benjamin Kingsley,0
Ayacucho,La Mar,San Miguel,16893041,Russell Rivers,0
